CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
LIT11,LIN22,CYOR_u10m,25HVITD3t,0,0,0
LIT11,LIN22,CYOR_u10m,2AMACHYD,0,0,0
LIT11,LIN22,CYOR_u10m,2HYOXPLCte,0,0,0
LIT11,LIN22,CYOR_u10m,2M3HVACc,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,2M3HVACte,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,2M3OVACm,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,2M3OVACtm,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,2M3OVCOAm,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,335TRITHYRt5e,0,0,0
LIT11,LIN22,CYOR_u10m,34DHOXPEGOX,0,0,0
LIT11,LIN22,CYOR_u10m,34DHOXPEGt,0,0,0
LIT11,LIN22,CYOR_u10m,34HPLFM,0.000202392347584667,0.000189048084420954,1.33442631637128e-05
LIT11,LIN22,CYOR_u10m,34HPPOR,0.0101978661339179,0.0020916773822405,0.00810618875167743
LIT11,LIN22,CYOR_u10m,3AIB_Dtm,0,0,0
LIT11,LIN22,CYOR_u10m,3DPHBH1,0.000202392347584667,0.000189048084420954,1.33442631637128e-05
LIT11,LIN22,CYOR_u10m,3DSPHR,3.07701829314914e-05,2.87414233289988e-05,2.02875960249257e-06
LIT11,LIN22,CYOR_u10m,3HAD100,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3HAD100m,0.000198983097220662,0,0.000198983097220662
LIT11,LIN22,CYOR_u10m,3HAD120,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3HAD140,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3HAD140m,0.000198983097220662,0,0.000198983097220662
LIT11,LIN22,CYOR_u10m,3HAD241n9p,0,0,0
LIT11,LIN22,CYOR_u10m,3HAD40,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3HAD60,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3HAD60m,0.000198983097220662,0,0.000198983097220662
LIT11,LIN22,CYOR_u10m,3HAD80,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3HAD80m,0.000198983097220662,0,0.000198983097220662
LIT11,LIN22,CYOR_u10m,3HAO,0,0.0999781291674016,-0.0999781291674016
LIT11,LIN22,CYOR_u10m,3HDH100m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,3HDH140m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,3HDH241n9p,0,0,0
LIT11,LIN22,CYOR_u10m,3HDH60m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,3HDH80m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,3HLYTCL,0,0,0
LIT11,LIN22,CYOR_u10m,3M2OPLOXRD,0,0,0
LIT11,LIN22,CYOR_u10m,3OAR100,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAR120,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAR140,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAR40,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAR60,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAR80,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAS100,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAS120,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAS140,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAS60,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,3OAS80,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,41R2A1H12BOOX,0,0,0
LIT11,LIN22,CYOR_u10m,4HBZCOAFm,0.000202392347584667,0.000189048084420954,1.33442631637128e-05
LIT11,LIN22,CYOR_u10m,4HBZFm,0.000202392347584667,0.000189048084420954,1.33442631637128e-05
LIT11,LIN22,CYOR_u10m,4MPTNLte,0,0,0
LIT11,LIN22,CYOR_u10m,4MPTNLtm,0,0,0
LIT11,LIN22,CYOR_u10m,4OHBUTm,0.00823185847376307,NaN,NaN
LIT11,LIN22,CYOR_u10m,4OHBUTtce,0.00823185847376307,NaN,NaN
LIT11,LIN22,CYOR_u10m,4OHBUTtmc,0.00823185847376307,NaN,NaN
LIT11,LIN22,CYOR_u10m,5AOPtm,0,0,0
LIT11,LIN22,CYOR_u10m,5MTHFSHCMT,0,0,0
LIT11,LIN22,CYOR_u10m,5MTHFt,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,5MTHFt2,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,7DHCHSTEROLtr,0,0,0
LIT11,LIN22,CYOR_u10m,AABHH,0,0,0
LIT11,LIN22,CYOR_u10m,ABO9g,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,ABUTt2r,1000,1000,0
LIT11,LIN22,CYOR_u10m,ABUTt4_2_r,-1000,-1000,0
LIT11,LIN22,CYOR_u10m,ACACPYRtm,0.0195500717018149,0.00209167738228189,0.017458394319533
LIT11,LIN22,CYOR_u10m,ACACT100m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACACT10m,0,0,0
LIT11,LIN22,CYOR_u10m,ACACT140m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACACT1rm,-0.0052966013133755,NaN,NaN
LIT11,LIN22,CYOR_u10m,ACACT224n6p,0,0,0
LIT11,LIN22,CYOR_u10m,ACACT60m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACACT80m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACACtx,-0.00935220556789318,NaN,NaN
LIT11,LIN22,CYOR_u10m,ACCOAC,0.0081583069847658,0.00650522652247237,0.00165308046229342
LIT11,LIN22,CYOR_u10m,ACETONEt2m,-0.00286092612259381,0,-0.00286092612259381
LIT11,LIN22,CYOR_u10m,ACFORte,-0.000104950502077372,-1000,999.999895049498
LIT11,LIN22,CYOR_u10m,ACGAM6PSi,0,0,0
LIT11,LIN22,CYOR_u10m,ACGAMPM,0,0,0
LIT11,LIN22,CYOR_u10m,ACMAT1,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,ACOA40ORm,0.000198983097189411,NaN,NaN
LIT11,LIN22,CYOR_u10m,ACOAD100m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACOAD140m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACOAD241n9p,0,0,0
LIT11,LIN22,CYOR_u10m,ACOAD60m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACOAD80m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACOAHi,0,0,0
LIT11,LIN22,CYOR_u10m,ACOATA,0.00119389858313646,0.000929318074638909,0.000264580508497548
LIT11,LIN22,CYOR_u10m,ACOATE100m,0.000198983097189411,0,0.000198983097189411
LIT11,LIN22,CYOR_u10m,ACOATE204,0,NaN,NaN
LIT11,LIN22,CYOR_u10m,ACOATE80m,0,0,0
LIT11,LIN22,CYOR_u10m,ACTNMO,0.00286092612255313,0,0.00286092612255313
LIT11,LIN22,CYOR_u10m,ADCim,0.00286092612255313,0,0.00286092612255313
LIT11,LIN22,CYOR_u10m,ADK1,0.0134343632268356,0.0236272415898093,-0.0101928783629737
LIT11,LIN22,CYOR_u10m,ADK3m,2.30362841562481e-05,NaN,NaN
LIT11,LIN22,CYOR_u10m,ADNK1,0,0,0
LIT11,LIN22,CYOR_u10m,ADNt,0,0,0
LIT11,LIN22,CYOR_u10m,ADNt4,0,0,0
LIT11,LIN22,CYOR_u10m,ADPOHc,0,0,0
LIT11,LIN22,CYOR_u10m,ADPOHt,0,0,0
LIT11,LIN22,CYOR_u10m,ADRNt,-1000,NaN,NaN
