CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
PT30,PN27,GND,2AMACSULT,0,0,0
PT30,PN27,GND,2AOBUTtm,0.0939902118234386,NaN,NaN
PT30,PN27,GND,2DR1PP,0,NaN,NaN
PT30,PN27,GND,2MCITt,0.0635867996522848,0,0.0635867996522848
PT30,PN27,GND,335TRITHYRt5e,0,NaN,NaN
PT30,PN27,GND,34DHMORx,0.0592654565533621,-1000,1000.05926545655
PT30,PN27,GND,34DHMORy,-0.0592654565533621,1000,-1000.05926545655
PT30,PN27,GND,34DHOXMANDte,0,0,0
PT30,PN27,GND,34DHPHAMT,0,0,0
PT30,PN27,GND,34DHPLACOX,0,0,0
PT30,PN27,GND,34DHPLACOXy,0,0,0
PT30,PN27,GND,34DHXMANDACOX,0,0,0
PT30,PN27,GND,34DHXMANDACOXy,0,0,0
PT30,PN27,GND,3DSPHR,0.000336074566039825,0.000494311606310647,-0.000158237040270823
PT30,PN27,GND,3HAD100,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3HAD100m,0,NaN,NaN
PT30,PN27,GND,3HAD120,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3HAD140,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3HAD140m,0,NaN,NaN
PT30,PN27,GND,3HAD241n9p,0,0,0
PT30,PN27,GND,3HAD40,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3HAD60,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3HAD60m,0,NaN,NaN
PT30,PN27,GND,3HAD80,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3HAD80m,0,NaN,NaN
PT30,PN27,GND,3HDH100m,0,NaN,NaN
PT30,PN27,GND,3HDH140m,0,NaN,NaN
PT30,PN27,GND,3HDH224n6p,0,NaN,NaN
PT30,PN27,GND,3HDH60m,0,NaN,NaN
PT30,PN27,GND,3HDH80m,0,NaN,NaN
PT30,PN27,GND,3HLYTCL,0,0,0
PT30,PN27,GND,3M4HDXPAC,0,0,0
PT30,PN27,GND,3M4HPORx,-1000,1000,-2000
PT30,PN27,GND,3M4HPORy,1000,-1000,2000
PT30,PN27,GND,3MHISt1,-0.115471999680153,NaN,NaN
PT30,PN27,GND,3MHISt2,-0.0104850805648766,NaN,NaN
PT30,PN27,GND,3MHISt3,-0.104986919115277,NaN,NaN
PT30,PN27,GND,3MLDAt,0.0645408926167192,0,0.0645408926167192
PT30,PN27,GND,3MOX4HOXMte,0,0,0
PT30,PN27,GND,3MOX4HOXPGALDOX,0,0,0
PT30,PN27,GND,3MOX4HOXPGALDOXy,0,0,0
PT30,PN27,GND,3MOXTYROX,0,0,0
PT30,PN27,GND,3OAR100,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAR120,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAR140,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAR40,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAR60,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAR80,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAS100,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAS120,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAS140,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAS60,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3OAS80,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,3SALACBOXL,0.161139357396078,NaN,NaN
PT30,PN27,GND,41R2A1H12BOOX,0,0,0
PT30,PN27,GND,42A12BOOX,0,0,0
PT30,PN27,GND,4HOXPACDOX,0.0969312006199486,0,0.0969312006199486
PT30,PN27,GND,4HOXPACDOXy,0,0,0
PT30,PN27,GND,5HTRPVESSEC,0,NaN,NaN
PT30,PN27,GND,A_MANASEly,0,0,0
PT30,PN27,GND,AACOAT,0.0289774717669944,NaN,NaN
PT30,PN27,GND,AACTOOR,0,NaN,NaN
PT30,PN27,GND,AACTtm,0,NaN,NaN
PT30,PN27,GND,AAGGS,0,NaN,NaN
PT30,PN27,GND,AAGS,0,NaN,NaN
PT30,PN27,GND,ABUTt4_2_r,0,NaN,NaN
PT30,PN27,GND,ACACT100m,0,NaN,NaN
PT30,PN27,GND,ACACT140m,0,NaN,NaN
PT30,PN27,GND,ACACT1r,-0.028977471767007,NaN,NaN
PT30,PN27,GND,ACACT1rm,0.0313300706078508,NaN,NaN
PT30,PN27,GND,ACACT224n6p,0,0,0
PT30,PN27,GND,ACACT60m,0,NaN,NaN
PT30,PN27,GND,ACACT80m,0,NaN,NaN
PT30,PN27,GND,ACCOAC,0.0745134988294143,0.111880644703268,-0.037367145873854
PT30,PN27,GND,ACGAM6PSi,0,0,0
PT30,PN27,GND,ACGAMK,0,NaN,NaN
PT30,PN27,GND,ACGAMPM,0,0,0
PT30,PN27,GND,ACGAMtly,0,0,0
PT30,PN27,GND,ACMAT1,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,ACNAMlt,0,0,0
PT30,PN27,GND,ACOA40ORm,0,NaN,NaN
PT30,PN27,GND,ACOAD100m,0,NaN,NaN
PT30,PN27,GND,ACOAD140m,0,NaN,NaN
PT30,PN27,GND,ACOAD241n9p,0,0,0
PT30,PN27,GND,ACOAD60m,0,NaN,NaN
PT30,PN27,GND,ACOAD80m,0,NaN,NaN
PT30,PN27,GND,ACOATA,0.012418916471569,0.0159829492433241,-0.00356403277175501
PT30,PN27,GND,ACOATE100m,0,NaN,NaN
PT30,PN27,GND,ACOATE80m,0,NaN,NaN
